"url","Name","Name_link"
"https://www.city-data.com/city/Alabama.html","Abbeville, AL",""
"https://www.city-data.com/city/Alabama.html","Abernant","https://www.city-data.com/city/Abernant-Alabama.html"
"https://www.city-data.com/city/Alabama.html","Adamsville, AL",""
"https://www.city-data.com/city/Alabama.html","Addison, AL",""
"https://www.city-data.com/city/Alabama.html","Akron, AL",""
"https://www.city-data.com/city/Alabama.html","Alabaster","https://www.city-data.com/city/Alabaster-Alabama.html"
"https://www.city-data.com/city/Alabama.html","Alberta, AL",""
"https://www.city-data.com/city/Alabama.html","Albertville, AL","https://www.city-data.com/city/Albertville-Alabama.html"
"https://www.city-data.com/city/Alabama.html","Alexander City","https://www.city-data.com/city/Alexander-City-Alabama.html"
"https://www.city-data.com/city/Alabama.html","Alexandria, AL",""
"https://www.city-data.com/city/Alabama.html","Aliceville",""
"https://www.city-data.com/city/Alabama.html","Allgood",""
"https://www.city-data.com/city/Alabama.html","Altoona, AL",""
"https://www.city-data.com/city/Alabama.html","Andalusia, AL","https://www.city-data.com/city/Andalusia-Alabama.html"
"https://www.city-data.com/city/Alabama.html","Anderson, AL",""
"https://www.city-data.com/city/Alabama.html","Anniston, AL","https://www.city-data.com/city/Anniston-Alabama.html"
"https://www.city-data.com/city/Alabama.html","Arab","https://www.city-data.com/city/Arab-Alabama.html"
"https://www.city-data.com/city/Alabama.html","Ardmore, AL",""
"https://www.city-data.com/city/Alabama.html","Argo",""
"https://www.city-data.com/city/Alabama.html","Ariton",""
"https://www.city-data.com/city/Alabama.html","Arley",""
"https://www.city-data.com/city/Alabama.html","Arsenal",""
"https://www.city-data.com/city/Alabama.html","Ashford, AL",""
"https://www.city-data.com/city/Alabama.html","Ashland, AL",""
"https://www.city-data.com/city/Alabama.html","Ashville, AL",""
"https://www.city-data.com/city/Alabama.html","Athens, AL","https://www.city-data.com/city/Athens-Alabama.html"
"https://www.city-data.com/city/Alabama.html","Atmore","https://www.city-data.com/city/Atmore-Alabama.html"
"https://www.city-data.com/city/Alabama.html","Attalla",""
"https://www.city-data.com/city/Alabama.html","Auburn, AL","https://www.city-data.com/city/Auburn-Alabama.html"
"https://www.city-data.com/city/Alabama.html","Autaugaville",""
"https://www.city-data.com/city/Alabama.html","Avon, AL",""
"https://www.city-data.com/city/Alabama.html","Axis",""
"https://www.city-data.com/city/Alabama.html","Babbie",""
"https://www.city-data.com/city/Alabama.html","Baileyton-Joppa",""
"https://www.city-data.com/city/Alabama.html","Baileyton, AL",""
"https://www.city-data.com/city/Alabama.html","Bakerhill",""
"https://www.city-data.com/city/Alabama.html","Ballplay",""
"https://www.city-data.com/city/Alabama.html","Banks-Josie",""
"https://www.city-data.com/city/Alabama.html","Bay Minette","https://www.city-data.com/city/Bay-Minette-Alabama.html"
"https://www.city-data.com/city/Alabama.html","Bayou La Batre",""
"https://www.city-data.com/city/Alabama.html","Bear Creek, AL",""
"https://www.city-data.com/city/Alabama.html","Beatrice, AL",""
"https://www.city-data.com/city/Alabama.html","Beauregard-Marvyn","https://www.city-data.com/city/Beauregard-Marvyn-Alabama.html"
"https://www.city-data.com/city/Alabama.html","Belk",""
"https://www.city-data.com/city/Alabama.html","Bellamy",""
"https://www.city-data.com/city/Alabama.html","Belle Fontaine",""
"https://www.city-data.com/city/Alabama.html","Bellwood-Coffee Springs",""
"https://www.city-data.com/city/Alabama.html","Belmont, AL",""
"https://www.city-data.com/city/Alabama.html","Benton-Collirene",""
"https://www.city-data.com/city/Alabama.html","Berry, AL",""
"https://www.city-data.com/city/Alabama.html","Bessemer, AL","https://www.city-data.com/city/Bessemer-Alabama.html"
"https://www.city-data.com/city/Alabama.html","Beulah, AL","https://www.city-data.com/city/Beulah-Alabama.html"
"https://www.city-data.com/city/Alabama.html","Bexar",""
"https://www.city-data.com/city/Alabama.html","Big Sandy-Duncanville","https://www.city-data.com/city/Big-Sandy-Duncanville-Alabama.html"
